Boostability 2025 - Consolidated Expense Summary
Category,Total Amount,% of Budget,Average Monthly,Key Notes
Platform & Development,"1,576.51",13.8%,$131,"Bubble platform upgrades (Jun-Jul), Upwork contractors for development"
AI & LLM Services,"580.00",5.1%,$48,"Anthropic (Claude) steady subscription, OpenAI (ChatGPT), research tools"
Team Communications,"196.30",1.7%,$16,"Zoom and Loom for team coordination and documentation"
Legal & Professional Services,"2,061.96",18.0%,$172,"ZenBusiness (LLC admin), Upwork contractor fees for specialized work"
Travel & Business Development,"5,259.53",46.0%,$438,"Conference travel (November spike), hotel, flights, ground transport"
Infrastructure & Operations,"858.43",7.5%,$72,"Mint Mobile, T-Mobile hotspot, internet services"
Equipment & Technology,"1,576.51",13.8%,$131,"Apple equipment (MacBook, iPad) in April"
Bank & Transaction Fees,"81.84",0.7%,$7,"International transaction fees (Israel-based founder)"
,,,
TOTAL 2025 EXPENSES,"11,791.08",100.0%,$982,
,,,
BURN RATE ANALYSIS,,,
Lowest Month,"$43 (March)",0.4%,,Minimal spend (software only)
Highest Month,"$4,270 (November)",36.2%,,Business development travel for partnerships
Average Monthly Burn,"$982",100.0%,,Sustainable bootstrapped runway
Median Monthly Burn,"$360",36.6%,,Typical month excluding travel/equipment spikes
